SpeciesID,Type,IsVertibrate,IsMammal,DNAtype,Ncodons,SpeciesName,Domain,Kingdom,Phylum,Class,Order,Family,Genus,RawGenomeKmeans,NMFGenomeKmeans,RawGenomeSpec
241842,plant,0,0,0,1068,Acanthus ebracteatus,eukaryota,plantae,tracheophyta,magnoliopsida,lamiales,acanthaceae,acanthus,2,5,1
155978,bacteria,0,0,0,1078,Acaryochloris marina,bacteria,bacteria,cyanobacteriota,cyanophyceae,acaryochloridales,acaryochloridaceae,acaryochloris,2,3,1
329726,bacteria,0,0,0,1565,Acaryochloris marina MBIC11017,bacteria,bacteria,cyanobacteriota,cyanophyceae,acaryochloridales,acaryochloridaceae,acaryochloris,2,0,1
45314,plant,0,0,0,1826,Acer rubrum,eukaryota,plantae,tracheophyta,magnoliopsida,sapindales,sapindaceae,acer,2,4,1
35845,plant,0,0,0,9561,Acetabularia acetabulum,eukaryota,plantae,chlorophyta,ulvophyceae,dasycladales,polyphysaceae,acetabularia,2,4,1
35862,plant,0,0,0,5351,Acetabularia peniculus,eukaryota,plantae,chlorophyta,ulvophyceae,dasycladales,polyphysaceae,acetabularia,2,0,1
35830,bacteria,0,0,0,6290,Acetivibrio cellulolyticus,,bacteria,firmicutes,clostridia,clostridiales,ruminococcaceae,acetivibrio,0,5,1
435,bacteria,0,0,0,11314,Acetobacter aceti,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,3,1,0
438,bacteria,0,0,0,12129,Acetobacter pasteurianus,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,3,1,0
146476,bacteria,0,0,0,1423,Acetobacter syzygii,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,3,1,0
104102,bacteria,0,0,0,1724,Acetobacter tropicalis,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acetobacter,3,3,0
82116,bacteria,0,0,0,1605,Acetobacterium dehalogenans,bacteria,bacteria,firmicutes,clostridia,eubacteriales,eubacteriaceae,acetobacterium,2,4,1
378752,invertebrate,0,0,0,1955,Achaea janata,eukaryota,animalia,arthropoda,insecta,lepidoptera,erebidae,achaea,2,3,1
6530,invertebrate,0,0,0,1137,Achatina fulica,,animalia,mollusca,gastropoda,stylommatophora,achatinidae,lissachatina,2,5,1
6997,invertebrate,0,0,0,1854,Acheta domesticus,eukaryota,animalia,arthropoda,insecta,orthoptera,gryllidae,acheta,3,2,0
4768,plant,0,0,0,1408,Achlya ambisexualis,eukaryota,chromista,oomycota,peronosporea,saprolegniales,saprolegniaceae,achlya,2,4,1
4766,plant,0,0,0,2786,Achlya bisexualis,eukaryota,chromista,oomycota,peronosporea,saprolegniales,saprolegniaceae,achlya,2,4,1
4767,plant,0,0,0,2312,Achlya klebsiana,eukaryota,chromista,oomycota,peronosporea,saprolegniales,saprolegniaceae,achlya,2,0,1
2148,bacteria,0,0,0,5678,Acholeplasma laidlawii,bacteria,bacteria,tenericutes,mollicutes,acholeplasmatales,acholeplasmataceae,acholeplasma,0,0,1
223,bacteria,0,0,0,3339,Achromobacter cycloclastes,bacteria,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,alcaligenaceae,achromobacter,1,1,0
32002,bacteria,0,0,0,22432,Achromobacter denitrificans,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,alcaligenaceae,achromobacter,1,1,0
85698,bacteria,0,0,0,38552,Achromobacter xylosoxidans,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,alcaligenaceae,achromobacter,1,1,0
2283,archaea,0,0,0,15193,Acidianus ambivalens,archaea,archaea,crenarchaeota,thermoprotei,sulfolobales,sulfolobaceae,acidianus,0,0,1
437444,archaea,0,0,0,7850,Acidianus bottle-shaped virus,,,,,,,,0,0,1
41673,archaea,0,0,0,2615,Acidianus brierleyi,archaea,archaea,crenarchaeota,thermoprotei,sulfolobales,sulfolobaceae,acidianus,0,5,1
235266,archaea,0,0,0,6445,Acidianus filamentous virus 1,,,,,,,,2,0,1
300186,archaea,0,0,0,9162,Acidianus filamentous virus 2,,,,,,,,0,0,1
309181,archaea,0,0,0,7384,Acidianus rod-shaped virus 1,,,,,,,,2,5,1
146920,archaea,0,0,0,1716,Acidianus tengchongenses,,,,,,,,0,0,1
315953,archaea,0,0,0,19336,Acidianus two-tailed virus,,,,,,,,2,5,1
349163,bacteria,0,0,0,1184349,Acidiphilium cryptum JF-5,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acidiphilium,1,6,0
62140,bacteria,0,0,0,2406,Acidiphilium multivorum,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acidiphilium,3,1,0
526,bacteria,0,0,0,4515,Acidiphilium rubrum,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acidiphilium,1,6,0
33059,bacteria,0,0,0,10319,Acidithiobacillus caldus,bacteria,bacteria,proteobacteria,gammaproteobacteria,acidithiobacillales,acidithiobacillaceae,acidithiobacillus,1,3,0
920,bacteria,0,0,0,36774,Acidithiobacillus ferrooxidans,bacteria,bacteria,proteobacteria,gammaproteobacteria,acidithiobacillales,acidithiobacillaceae,acidithiobacillus,3,1,0
930,bacteria,0,0,0,1857,Acidithiobacillus thiooxidans,bacteria,bacteria,proteobacteria,gammaproteobacteria,acidithiobacillales,acidithiobacillaceae,acidithiobacillus,3,1,0
204669,bacteria,0,0,0,3368168,Acidobacteria bacterium Ellin345,bacteria,,acidobacteriota,acidobacteriia,acidobacteriales,acidobacteriaceae,edaphobacter,3,1,0
33075,bacteria,0,0,0,1004,Acidobacterium capsulatum,bacteria,bacteria,acidobacteria,terriglobia,acidobacteriales,acidobacteriaceae,acidobacterium,1,1,0
525,bacteria,0,0,0,1059,Acidocella facilis,bacteria,bacteria,proteobacteria,alphaproteobacteria,rhodospirillales,acetobacteraceae,acidocella,1,6,0
351607,bacteria,0,0,0,732005,Acidothermus cellulolyticus 11B,bacteria,bacteria,actinobacteria,actinomycetes,acidothermales,acidothermaceae,acidothermus,1,6,0
80870,bacteria,0,0,0,28315,Acidovorax avenae subsp. avenae,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,6,0
80869,bacteria,0,0,0,14395,Acidovorax avenae subsp. citrulli,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,1,0
397945,bacteria,0,0,0,1591890,Acidovorax avenae subsp. citrulli AAC00-1,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,6,0
47920,bacteria,0,0,0,1543,Acidovorax delafieldii,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,6,0
232721,bacteria,0,0,0,1342062,Acidovorax sp. JS42,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,6,0
358220,bacteria,0,0,0,2012,Acidovorax sp. KKS102,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,1,1,0
371155,bacteria,0,0,0,1425,Acidovorax sp. MUL2G8,bacteria,bacteria,proteobacteria,betaproteobacteria,burkholderiales,comamonadaceae,acidovorax,3,2,0
470,bacteria,0,0,0,170186,Acinetobacter baumannii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
400667,bacteria,0,0,0,1010003,Acinetobacter baumannii ATCC 17978,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
202950,bacteria,0,0,0,1761,Acinetobacter baylyi,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
202951,bacteria,0,0,0,1363,Acinetobacter bouvetii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
471,bacteria,0,0,0,20083,Acinetobacter calcoaceticus,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,5,1
106648,bacteria,0,0,0,1363,Acinetobacter genomosp. 10,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
106649,bacteria,0,0,0,1363,Acinetobacter genomosp. 11,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
72607,bacteria,0,0,0,1363,Acinetobacter genomosp. 13,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
70347,bacteria,0,0,0,1510,Acinetobacter genomosp. 16,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
48296,bacteria,0,0,0,8122,Acinetobacter genomosp. 3,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
106646,bacteria,0,0,0,1363,Acinetobacter genomosp. 6,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
106647,bacteria,0,0,0,1363,Acinetobacter genomosp. 9,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
202952,bacteria,0,0,0,1363,Acinetobacter gerneri,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
202953,bacteria,0,0,0,1363,Acinetobacter grimontii,,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
29430,bacteria,0,0,0,4135,Acinetobacter haemolyticus,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
40214,bacteria,0,0,0,2102,Acinetobacter johnsonii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
40215,bacteria,0,0,0,5183,Acinetobacter junii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,2,1
28090,bacteria,0,0,0,14833,Acinetobacter lwoffii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,5,1
134533,bacteria,0,0,0,1363,Acinetobacter parvus,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
279006,bacteria,0,0,0,5331,Acinetobacter phage 133,,,,,,,,0,0,1
154784,bacteria,0,0,0,1294,Acinetobacter phage AP205,,,,,,,,2,0,1
40216,bacteria,0,0,0,4840,Acinetobacter radioresistens,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
108981,bacteria,0,0,0,1363,Acinetobacter schindleri,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
72569,bacteria,0,0,0,2276,Acinetobacter sp.,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
209657,bacteria,0,0,0,3371,Acinetobacter sp. 4365,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
62977,bacteria,0,0,0,1074564,Acinetobacter sp. ADP1,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
104611,bacteria,0,0,0,11998,Acinetobacter sp. BD413,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,5,1
156739,bacteria,0,0,0,1314,Acinetobacter sp. EB104,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
109250,bacteria,0,0,0,2238,Acinetobacter sp. ED23-35,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,3,1,0
194927,bacteria,0,0,0,1710,Acinetobacter sp. ED45-25,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,3,1,0
309867,bacteria,0,0,0,1107,Acinetobacter sp. LUH5605,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
123502,bacteria,0,0,0,6004,Acinetobacter sp. M-1,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
93373,bacteria,0,0,0,5395,Acinetobacter sp. NCIMB9871,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
336754,bacteria,0,0,0,1010,Acinetobacter sp. OC4,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
135835,bacteria,0,0,0,4494,Acinetobacter sp. SE19,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
61312,bacteria,0,0,0,1617,Acinetobacter sp. SUN,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,5,1
278934,bacteria,0,0,0,4882,Acinetobacter sp. YAA,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
202954,bacteria,0,0,0,1363,Acinetobacter tandoii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
202955,bacteria,0,0,0,1363,Acinetobacter tjernbergiae,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,0,1
202956,bacteria,0,0,0,1363,Acinetobacter towneri,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
108980,bacteria,0,0,0,1363,Acinetobacter ursingii,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,2,0,1
52133,bacteria,0,0,0,6263,Acinetobacter venetianus,bacteria,bacteria,proteobacteria,gammaproteobacteria,pseudomonadales,moraxellaceae,acinetobacter,0,5,1
27689,vertebrate,1,0,0,8767,Acipenser baerii,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,2,0
7902,vertebrate,1,0,0,1588,Acipenser gueldenstaedtii,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,2,0
7906,vertebrate,1,0,0,2986,Acipenser ruthenus,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,3,0
7904,vertebrate,1,0,0,3001,Acipenser transmontanus,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,2,0
5044,plant,0,0,0,11072,Acremonium chrysogenum,eukaryota,fungi,ascomycota,sordariomycetes,hypocreales,bionectriaceae,acremonium,3,1,0
5046,plant,0,0,0,3230,Acremonium strictum,,fungi,ascomycota,sordariomycetes,hypocreales,hypocreales incertae sedis,acremonium,3,2,0
39621,vertebrate,1,0,0,3167,Acrocephalus arundinaceus,eukaryota,animalia,chordata,aves,passeriformes,sylviidae,acrocephalus,3,3,0
126732,invertebrate,0,0,0,1123,Acropora formosa,,animalia,cnidaria,anthozoa,scleractinia,acroporidae,acropora,3,3,1
45264,invertebrate,0,0,0,12062,Acropora millepora,eukaryota,animalia,cnidaria,anthozoa,scleractinia,acroporidae,acropora,2,2,1
37776,invertebrate,0,0,0,1775,Actias selene,eukaryota,animalia,arthropoda,insecta,lepidoptera,saturniidae,actias,2,2,1
6106,invertebrate,0,0,0,1736,Actinia equina,eukaryota,animalia,cnidaria,anthozoa,actiniaria,actiniidae,actinia,2,2,1
3625,plant,0,0,0,6072,Actinidia chinensis,eukaryota,plantae,tracheophyta,magnoliopsida,ericales,actinidiaceae,actinidia,2,5,1
3627,plant,0,0,0,10521,Actinidia deliciosa,eukaryota,plantae,tracheophyta,magnoliopsida,ericales,actinidiaceae,actinidia,2,3,1
182091,bacteria,0,0,0,2342,Actinobacillus cf. equuli,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,5,1
715,bacteria,0,0,0,72288,Actinobacillus pleuropneumoniae,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,5,1
416269,bacteria,0,0,0,654853,Actinobacillus pleuropneumoniae L20,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,0,1
209841,bacteria,0,0,0,1031,Actinobacillus pleuropneumoniae serovar 7,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,4,1
189834,bacteria,0,0,0,14863,Actinobacillus porcitonsillarum,bacteria,,pseudomonadota,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,5,1
339671,bacteria,0,0,0,679760,Actinobacillus succinogenes 130Z,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,2,1,1
716,bacteria,0,0,0,16037,Actinobacillus suis,bacteria,bacteria,proteobacteria,gammaproteobacteria,pasteurellales,pasteurellaceae,actinobacillus,0,5,1
68565,bacteria,0,0,0,2564,Actinomadura hibisca,bacteria,bacteria,actinobacteria,actinomycetes,actinomycetales,thermomonosporaceae,actinomadura,1,6,0
1993,bacteria,0,0,0,3292,Actinomadura madurae,bacteria,bacteria,actinobacteria,actinomycetes,streptosporangiales,thermomonosporaceae,actinomadura,1,6,0
360723,bacteria,0,0,0,13300,Actinomadura melliaura,bacteria,,actinomycetota,actinomycetes,streptosporangiales,thermomonosporaceae,actinomadura,1,6,0
46165,bacteria,0,0,0,3881,Actinomadura verrucosospora,bacteria,bacteria,actinobacteria,actinomycetes,actinomycetales,thermomonosporaceae,actinomadura,1,6,0
1655,bacteria,0,0,0,13952,Actinomyces naeslundii,bacteria,bacteria,actinobacteria,actinomycetes,actinomycetales,actinomycetaceae,actinomyces,1,6,0
338473,bacteria,0,0,0,5483,Actinomyces phage Av-1,,,,,,,,3,2,1
416175,bacteria,0,0,0,1020,Actinomyces sp. Lu 9419,bacteria,bacteria,actinobacteria,actinomycetes,actinomycetales,actinomycetaceae,actinomyces,1,6,0
1656,bacteria,0,0,0,2591,Actinomyces viscosus,bacteria,bacteria,actinobacteria,actinomycetes,actinomycetales,actinomycetaceae,actinomyces,1,6,0
196914,bacteria,0,0,0,22270,Actinoplanes friuliensis,bacteria,bacteria,actinobacteria,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,1,6,0
1866,bacteria,0,0,0,1024,Actinoplanes missouriensis,bacteria,bacteria,actinobacteria,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,1,6,0
279303,bacteria,0,0,0,18106,Actinoplanes phage phiAsp2,,,,,,,,1,6,0
236489,bacteria,0,0,0,6673,Actinoplanes sp. A40644,bacteria,bacteria,actinobacteria,actinobacteria,actinomycetales,micromonosporaceae,actinoplanes,1,6,0
196196,bacteria,0,0,0,1145,Actinoplanes sp. ATCC 33002,bacteria,bacteria,actinobacteria,actinobacteria,actinomycetales,micromonosporaceae,actinoplanes,1,6,0
1867,bacteria,0,0,0,52724,Actinoplanes teichomyceticus,bacteria,bacteria,actinobacteria,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,1,6,0
42198,bacteria,0,0,0,25639,Actinosynnema pretiosum subsp. auranticum,bacteria,bacteria,actinobacteria,actinomycetia,actinomycetales,pseudonocardiaceae,actinosynnema,1,6,0
42474,bacteria,0,0,0,2106,Acyrthosiphon kondoi endosymbiont,eukaryota,animalia,arthropoda,insecta,hemiptera,aphididae,acyrthosiphon,2,2,1
7029,invertebrate,0,0,0,9920,Acyrthosiphon pisum,eukaryota,animalia,arthropoda,insecta,hemiptera,aphididae,acyrthosiphon,2,0,1
13818,plant,0,0,0,19537,Adiantum capillus-veneris,,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,adiantum,2,5,1
104782,invertebrate,0,0,0,21183,Adineta vaga,eukaryota,animalia,rotifera,eurotatoria,adinetida,adinetidae,adineta,0,5,1
151078,plant,0,0,0,4573,Adonis aestivalis var. palaestina,eukaryota,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,adonis,2,0,1
7159,invertebrate,0,0,0,257935,Aedes aegypti,eukaryota,animalia,arthropoda,insecta,diptera,culicidae,aedes,3,2,0
7160,invertebrate,0,0,0,14260,Aedes albopictus,eukaryota,animalia,arthropoda,insecta,diptera,culicidae,aedes,3,2,0
59970,plant,0,0,0,1689,Aegiceras corniculatum,eukaryota,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,aegiceras,2,2,1
4483,plant,0,0,0,5593,Aegilops bicornis,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
4485,plant,0,0,0,2676,Aegilops comosa,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
130456,plant,0,0,0,1129,Aegilops cylindrica,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,1,0
130459,plant,0,0,0,2564,Aegilops geniculata,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,2,1
130458,plant,0,0,0,1685,Aegilops kotschyi,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,1,0
4486,plant,0,0,0,2713,Aegilops longissima,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,2,0
4494,plant,0,0,0,2657,Aegilops markgrafii,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
130460,plant,0,0,0,1206,Aegilops neglecta,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,2,1
4487,plant,0,0,0,5936,Aegilops searsii,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
58530,plant,0,0,0,1235,Aegilops sharonensis,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,3,0
4573,plant,0,0,0,8117,Aegilops speltoides,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,2,0
37682,plant,0,0,0,88267,Aegilops tauschii,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
200361,plant,0,0,0,1485,Aegilops tauschii subsp. strangulata,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,2,0
285950,plant,0,0,0,1474,Aegilops tauschii x Triticum turgidum,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,2,1
4491,plant,0,0,0,2657,Aegilops umbellulata,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
4492,plant,0,0,0,1905,Aegilops uniaristata,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,2,3,1
116981,plant,0,0,0,1862,Aegilops ventricosa,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,3,3,0
110874,plant,0,0,0,2348,Aeluropus littoralis,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aeluropus,3,2,0
147615,invertebrate,0,0,0,2347,Aequorea macrodactyla,eukaryota,animalia,cnidaria,hydrozoa,leptothecata,aequoreidae,aequorea,2,0,1
6100,invertebrate,0,0,0,4535,Aequorea victoria,eukaryota,animalia,cnidaria,hydrozoa,leptothecata,aequoreidae,aequorea,2,0,1
31956,bacteria,0,0,0,21680,Aeromicrobium erythreum,bacteria,bacteria,actinobacteria,actinomycetes,propionibacteriales,nocardioidaceae,aeromicrobium,1,6,0
105751,bacteria,0,0,0,2824,Aeromonas bestiarum,bacteria,bacteria,proteobacteria,gammaproteobacteria,aeromonadales,aeromonadaceae,aeromonas,1,2,0
29489,bacteria,0,0,0,1487,Aeromonas enteropelogenes,bacteria,bacteria,proteobacteria,gammaproteobacteria,aeromonadales,aeromonadaceae,aeromonas,3,2,0
644,bacteria,0,0,0,202290,Aeromonas hydrophila,bacteria,bacteria,proteobacteria,gammaproteobacteria,aeromonadales,aeromonadaceae,aeromonas,3,2,0
380703,bacteria,0,0,0,1384678,Aeromonas hydrophila subsp. hydrophila ATCC 7966,bacteria,bacteria,proteobacteria,gammaproteobacteria,aeromonadales,aeromonadaceae,aeromonas,1,1,0
650,bacteria,0,0,0,1116,Aeromonas jandaei,bacteria,bacteria,proteobacteria,gammaproteobacteria,aeromonadales,aeromonadaceae,aeromonas,1,2,0
233894,bacteria,0,0,0,52063,Aeromonas phage 25,,,,,,,,2,0,1
321023,bacteria,0,0,0,53265,Aeromonas phage 31,,,,,,,,2,0,1
115987,bacteria,0,0,0,55642,Aeromonas phage 44RR2.8t,,,,,,,,2,0,1
260149,bacteria,0,0,0,7663,Aeromonas phage 65,,,,,,,,0,0,1
227470,bacteria,0,0,0,72890,Aeromonas phage Aeh1,,,,,,,,2,0,1
